prior	after smooth	after rf
-3.684852899	-0.175739138	-0.232429183
-4.356542903	-0.452159723	-0.124938871
-4.525380008	-0.459658689	-0.286009851
-5.238792622	0.561805064	-0.045965869
-5.045455729	0.627962311	0.024308218
-3.991482777	-0.891791522	-0.775974442
-2.942347519	-0.655062815	-0.338571792
-3.684852899	0.195520662	-0.610405968
-3.492338909	-0.567486799	-0.681937918
-4.254396528	0.290896594	-0.491186053
-3.474825298	-0.743683754	-0.410513432
-5.614000757	-1.025291275	-0.906071359
-2.282651396	-0.164401129	-0.107711085
-4.277610574	-0.582013037	-0.40417572
-4.303384373	-0.391041323	-0.011528543
-4.277610574	2.315432964	-0.653325138
-3.3665165	-0.682637607	-0.629272806
-3.705354979	-0.072593077	0.133760072
-3.73031771	-0.680707802	-0.631901028
-5.326745832	0.565742399	-0.963955343
-2.506849687	-0.38150373	0.63558714
-2.861127689	0.267052611	-0.267052611
-5.128203369	0.384880126	-0.117489723
-4.473237468	0.440837084	-0.06579658
-4.662982029	0.491756322	-2.055734044
-3.770006846	-1.366432108	0.021775811
-3.188215666	-0.53626847	-0.745668539
-4.95923609	-0.302531414	0.180355266
-2.929903475	-0.452676807	-0.040417572
-2.778977461	0.049868892	0.142482548
-4.632886758	0.035054984	-0.543352253
-5.128989892	-0.35697942	-0.941484184
-4.814167711	-0.147832695	-2.379629517
-4.722381863	-0.270768251	-0.091785848
-5.238792622	0.812762239	0.036714339
-3.896106844	-0.100964432	0.655837259
-2.144083347	-1.053935436	0.127037885
-0.428954713	0.876551721	0.229503979
-3.870118426	-0.011475199	-0.003825066
-4.287899338	0.405457029	-0.433960493
-3.311197983	0.74870107	-0.183116009
-3.714139391	0.797440686	0.048733514
-2.942347519	0.224174164	-0.457804476
-4.736269145	0.405347713	0.059038153
-3.053902477	0.047230522	-0.653325138
-3.705354979	-0.901302562	-0.187077147
-5.326745832	-0.164401129	-0.130387103
-3.855191407	0.004553559	-0.090607136
-5.040618034	2.567976126	1.43382509
-3.911613078	-0.309971781	0.434257426
-4.251753345	3.013483351	0.026594789
-3.705354979	-2.694717481	0.279711968
-0.539413298	0.212758308	-0.053250538
-4.314708782	0.887619313	-0.158375835
-5.22684621	0.372753768	-0.044225435
0.914572458	-0.563114079	-0.16019047
-4.69268716	-0.321639524	-0.124613221
-4.237436304	0.042155387	-0.219614707
-3.431133479	-0.012891023	1.449701869
-3.919239616	-0.270687894	0.692331504
-4.004412074	2.003881531	1.165086678
-4.021999149	0.279259766	0.896609257
-1.477812431	3.714939678	-1.0199412
-4.6555605	0.999498844	0.244845742
-0.160836882	-0.419745032	0.422214899
-2.73392331	0.284195951	-1.126141364
-4.397515712	0.238643204	0.882734017
-4.060752606	-0.156914031	-0.758238664
-4.25856702	-0.696717809	-0.682576034
-5.144596762	1.195660891	0.062017768
-3.809088097	-0.825001816	-0.363758148
-3.92677362	-0.419745032	0.094587624
-3.456031527	-0.490973996	0.12610486
-4.26356244	-0.315257062	-0.596099578
-4.811715797	0.378350495	-0.896533766
-4.515201235	0.182151464	0.47924396
-3.767579401	0.906071359	-2.122114499
-3.972680194	0.189175247	-0.652436222
-4.282894674	0.138295102	0.240473497
-3.667204606	-0.791416719	0.231436363
-3.524140707	0.432852295	-0.939452936
-4.668651898	-0.562718002	0.324843422
-5.221314373	0.294625429	-0.624712358
-4.098797025	-0.04291917	-0.45303568
-4.096396302	0.144101886	-0.210962825
-4.89134138	0.302179928	0.266124104
-3.637708174	-0.681937918	-0.228902238
-5.354609703	0.02850849	-0.274431673
-2.107704994	0.342890672	-0.090607136
-3.454078545	0.729625884	0.486431739
-2.107704994	-0.624693151	-0.314740577
-4.006582161	0.519798832	-1.028553275
-3.037723451	-0.490292309	-0.064743953
-3.705354979	0.701013104	0.189167899
-4.775524299	-0.707766858	-0.036858621
-3.896106844	-0.582695573	-0.23407429
-4.633581587	-0.621551667	-0.325027319
-5.007158461	-0.442303447	-0.116393942
-4.017589646	-0.682301654	0.31179106
-3.898681114	0.251896172	-0.166907882
-4.835875226	-0.400104174	0.557949205
-4.393871293	0.648862476	0.151682137
-1.778051719	-0.4244229	-0.753469867
-4.563738372	0.600868375	-0.123043329
-3.514603114	0.337071416	-0.41011651
-1.946587427	-1.063441648	0.343353357
-4.032465452	-0.553694979	0.262653036
-4.086858709	0.071531949	0.068303383
-4.563738372	-0.319509374	0.274228141
-3.073501314	0.700408095	-0.109682322
-4.09134402	-0.532886419	-0.27983768
-3.800730912	0.486991355	0.35289095
-3.295465768	-0.433748404	0.322871589
-3.514603114	2.546537399	-0.085717839
-4.878503551	-0.650422476	-0.35289095
-3.228475316	0.741459307	-1.487864547
-0.74870107	-0.066763153	-0.433106622
-4.483042978	-0.769967328	-0.023319807
-4.468362439	-0.247189951	-0.287660254
-5.543764762	0.619575931	0.319441379
-2.375041068	0.153577586	0.032735796
-3.526141372	-0.069108903	0.549625629
-3.739155372	0.190595984	-0.459234755
-4.104462361	-0.674793925	0.481648459
-3.358010621	-0.428294326	0.255051677
-4.769332074	0.656455451	-0.066383135
